Ano,Km,Cilindros,Combustivel_Gasolina,Combustivel_Gás,Combustivel_Hibrido,Classificacao_Veiculo_Usado,Faixa_Preco
2017,35874.0,4,1.0,0.0,0.0,1.0,0.0
2013,95000.0,4,1.0,0.0,0.0,1.0,0.0
2011,420800.0,4,1.0,0.0,0.0,1.0,0.0
2013,81025.0,4,0.0,0.0,0.0,1.0,1.0
2014,80000.0,4,1.0,0.0,0.0,1.0,0.0
2018,8000.0,4,1.0,0.0,0.0,0.0,1.0
2007,255000.0,6,1.0,0.0,0.0,1.0,0.0
2013,145000.0,4,1.0,0.0,0.0,1.0,0.0
2010,300366.0,6,0.0,0.0,1.0,1.0,0.0
2012,134114.0,6,1.0,0.0,0.0,1.0,1.0
2018,61795.0,4,1.0,0.0,0.0,0.0,0.0
2013,31381.0,4,1.0,0.0,0.0,1.0,0.0
2014,160000.0,4,0.0,0.0,1.0,1.0,1.0
2002,85000.0,6,1.0,0.0,0.0,1.0,0.0
2013,97386.0,4,0.0,0.0,1.0,1.0,0.0
2004,167658.24705581157,4,1.0,0.0,0.0,1.0,0.0
2013,339920.0,4,0.0,0.0,1.0,1.0,0.0
2017,100800.0,4,1.0,0.0,0.0,1.0,1.0
2018,47692.0,4,0.0,0.0,0.0,0.0,2.0
2003,150000.0,12,1.0,0.0,0.0,1.0,0.0
2018,35058.0,4,0.0,0.0,1.0,0.0,0.0
2013,0.0,4,0.0,0.0,1.0,1.0,0.0
2013,111930.0,4,1.0,0.0,0.0,1.0,0.0
2017,167658.24705581157,4,1.0,0.0,0.0,1.0,0.0
2000,497000.0,8,0.0,0.0,0.0,1.0,0.0
2015,71717.0,6,1.0,0.0,0.0,1.0,0.0
2012,58450.0,6,1.0,0.0,0.0,1.0,1.0
2011,132630.0,6,0.0,0.0,0.0,1.0,0.0
2015,138513.0,4,0.0,0.0,1.0,1.0,0.0
2019,2927.0,4,1.0,0.0,0.0,0.0,1.0
2007,0.0,4,0.0,0.0,0.0,1.0,0.0
2017,60646.0,4,0.0,0.0,0.0,1.0,1.0
2009,288000.0,4,0.0,0.0,1.0,1.0,0.0
2010,210000.0,4,0.0,0.0,1.0,1.0,0.0
2011,75586.0,4,1.0,0.0,0.0,1.0,0.0
2017,34454.0,4,1.0,0.0,0.0,1.0,2.0
2012,100300.0,4,1.0,0.0,0.0,1.0,0.0
2012,128202.0,6,0.0,0.0,0.0,1.0,0.0
1996,167658.24705581157,4,0.0,1.0,0.0,1.0,0.0
2010,200000.0,4,0.0,0.0,1.0,1.0,0.0
2008,218126.0,8,1.0,0.0,0.0,1.0,0.0
2011,83000.0,4,1.0,0.0,0.0,1.0,0.0
2017,81665.0,4,0.0,0.0,0.0,1.0,1.0
2013,136861.0,4,0.0,0.0,1.0,1.0,0.0
2012,145227.0,6,0.0,0.0,0.0,1.0,0.0
2012,226814.0,4,0.0,0.0,1.0,1.0,0.0
2016,94638.0,4,0.0,0.0,0.0,1.0,2.0
2016,48800.0,4,0.0,0.0,0.0,1.0,1.0
2011,117700.0,4,0.0,0.0,0.0,1.0,1.0
2017,61600.0,4,1.0,0.0,0.0,1.0,2.0
2009,50549.0,4,1.0,0.0,0.0,1.0,0.0
2012,240350.0,4,1.0,0.0,0.0,1.0,0.0
2012,131200.0,6,1.0,0.0,0.0,1.0,1.0
2012,182000.0,4,0.0,0.0,0.0,1.0,1.0
2016,30177.0,4,0.0,0.0,0.0,1.0,1.0
2016,105427.0,6,1.0,0.0,0.0,1.0,0.0
2013,93338.0,4,0.0,0.0,0.0,1.0,1.0
1995,210000.0,4,1.0,0.0,0.0,1.0,0.0
2013,265558.0,4,1.0,0.0,0.0,1.0,0.0
2016,43000.0,4,1.0,0.0,0.0,1.0,0.0
2014,107000.0,4,1.0,0.0,0.0,1.0,0.0
2012,188419.0,4,0.0,0.0,1.0,1.0,0.0
2005,178000.0,4,1.0,0.0,0.0,1.0,0.0
2013,101124.0,4,1.0,0.0,0.0,1.0,1.0
2018,127515.0,4,0.0,0.0,1.0,0.0,0.0
2009,159634.0,4,1.0,0.0,0.0,1.0,0.0
2015,87112.0,4,1.0,0.0,0.0,1.0,0.0
2014,0.0,6,1.0,0.0,0.0,1.0,0.0
2015,102907.0,8,1.0,0.0,0.0,1.0,0.0
2014,196000.0,6,1.0,0.0,0.0,1.0,2.0
2012,204800.0,4,0.0,0.0,1.0,1.0,1.0
2013,313330.0,6,0.0,0.0,0.0,1.0,0.0
2013,185000.0,4,0.0,0.0,0.0,1.0,1.0
2015,167658.24705581157,4,0.0,0.0,1.0,1.0,1.0
2006,180833.0,6,1.0,0.0,0.0,1.0,0.0
2007,140000.0,4,0.0,0.0,1.0,1.0,0.0
1996,111000.0,4,1.0,0.0,0.0,1.0,0.0
2012,98000.0,4,0.0,0.0,0.0,1.0,0.0
2014,95987.0,6,0.0,0.0,0.0,1.0,0.0
2010,260771.0,8,1.0,0.0,0.0,1.0,0.0
2005,160000.0,4,1.0,0.0,0.0,1.0,0.0
2012,307072.0,4,1.0,0.0,0.0,1.0,0.0
2002,400000.0,4,1.0,0.0,0.0,1.0,0.0
2017,138459.0,4,0.0,0.0,1.0,1.0,0.0
2016,94401.0,4,1.0,0.0,0.0,1.0,1.0
2013,348428.0,4,1.0,0.0,0.0,1.0,0.0
2013,361603.0,6,0.0,0.0,1.0,1.0,0.0
2010,132000.0,4,0.0,0.0,1.0,1.0,0.0
1998,212000.0,4,1.0,0.0,0.0,1.0,0.0
2017,16000.0,4,1.0,0.0,0.0,1.0,2.0
2016,113771.0,4,1.0,0.0,0.0,1.0,1.0
2005,117000.0,4,1.0,0.0,0.0,1.0,0.0
2013,202651.0,8,1.0,0.0,0.0,1.0,2.0
2018,4363.0,4,1.0,0.0,0.0,0.0,1.0
2012,94000.0,6,1.0,0.0,0.0,1.0,1.0
2017,50963.0,4,1.0,0.0,0.0,1.0,2.0
2019,16042.0,4,1.0,0.0,0.0,0.0,0.0
2015,87521.0,4,0.0,0.0,0.0,1.0,1.0
2007,167658.24705581157,4,1.0,0.0,0.0,1.0,0.0
2013,190549.0,4,0.0,0.0,1.0,1.0,0.0
2011,89323.0,4,1.0,0.0,0.0,1.0,0.0
1998,777777.0,6,1.0,0.0,0.0,1.0,0.0
2009,158267.0,4,0.0,0.0,0.0,1.0,0.0
2012,204579.0,4,1.0,0.0,0.0,1.0,0.0
2016,70066.0,4,1.0,0.0,0.0,1.0,0.0
1998,1700000.0,6,1.0,0.0,0.0,1.0,0.0
2013,800.0,6,0.0,0.0,1.0,1.0,1.0
2002,237688.0,4,0.0,1.0,0.0,1.0,0.0
2005,145000.0,4,1.0,0.0,0.0,1.0,0.0
2015,24148.0,4,1.0,0.0,0.0,1.0,1.0
2017,69968.0,4,1.0,0.0,0.0,1.0,0.0
2011,120000.0,4,1.0,0.0,0.0,1.0,0.0
2018,167658.24705581157,4,1.0,0.0,0.0,0.0,1.0
2005,0.0,4,1.0,0.0,0.0,1.0,0.0
2013,167658.24705581157,4,0.0,0.0,0.0,1.0,0.0
2012,99949.0,4,1.0,0.0,0.0,1.0,0.0
2011,117543.0,4,1.0,0.0,0.0,1.0,0.0
2015,45605.0,4,1.0,0.0,0.0,1.0,0.0
2018,28750.0,4,1.0,0.0,0.0,0.0,2.0
2010,167658.24705581157,6,0.0,0.0,0.0,1.0,0.0
2007,180000.0,4,0.0,0.0,1.0,1.0,0.0
1999,10000.0,4,1.0,0.0,0.0,1.0,0.0
2011,122302.0,4,0.0,0.0,1.0,1.0,0.0
2017,63149.0,4,1.0,0.0,0.0,1.0,0.0
2011,101816.0,6,0.0,0.0,1.0,1.0,0.0
2010,91393.0,4,0.0,0.0,0.0,1.0,0.0
2015,53638.0,6,1.0,0.0,0.0,1.0,2.0
2014,170623.0,4,0.0,0.0,0.0,1.0,1.0
2006,200000.0,6,1.0,0.0,0.0,1.0,1.0
2012,135000.0,4,1.0,0.0,0.0,1.0,0.0
2009,109139.0,6,0.0,0.0,0.0,1.0,0.0
2012,196764.0,4,0.0,0.0,0.0,1.0,1.0
2015,167658.24705581157,6,1.0,0.0,0.0,1.0,1.0
2011,154000.0,6,1.0,0.0,0.0,1.0,1.0
2014,186048.0,4,0.0,0.0,1.0,1.0,0.0
2000,180000.0,6,0.0,1.0,0.0,1.0,0.0
1997,200000.0,4,0.0,0.0,0.0,1.0,0.0
2011,122000.0,6,0.0,0.0,0.0,1.0,1.0
2011,115000.0,4,1.0,0.0,0.0,1.0,0.0
2014,164800.0,4,0.0,0.0,0.0,1.0,0.0
2001,126000.0,3,1.0,0.0,0.0,1.0,0.0
2016,79845.0,4,1.0,0.0,0.0,1.0,1.0
2015,273493.0,8,1.0,0.0,0.0,1.0,2.0
2016,128994.0,4,0.0,0.0,0.0,1.0,1.0
2012,137600.0,4,1.0,0.0,0.0,1.0,0.0
2008,189000.0,6,0.0,0.0,1.0,1.0,1.0
2003,25000.0,6,1.0,0.0,0.0,1.0,0.0
2000,245000.0,8,0.0,1.0,0.0,1.0,0.0
2004,138000.0,4,1.0,0.0,0.0,1.0,0.0
2010,148661.0,6,1.0,0.0,0.0,1.0,0.0
1998,0.0,6,0.0,1.0,0.0,1.0,0.0
2012,155255.0,4,0.0,0.0,0.0,1.0,1.0
1998,320000.0,6,1.0,0.0,0.0,1.0,0.0
2016,42765.0,4,0.0,0.0,0.0,1.0,1.0
2012,189704.0,8,1.0,0.0,0.0,1.0,0.0
2010,319301.0,4,0.0,0.0,1.0,1.0,0.0
2020,21.0,4,1.0,0.0,0.0,0.0,2.0
2012,98252.0,4,1.0,0.0,0.0,1.0,1.0
2016,104697.0,4,0.0,0.0,0.0,1.0,1.0
2009,16320.0,4,0.0,0.0,1.0,1.0,0.0
2012,159379.0,4,0.0,0.0,1.0,1.0,0.0
2010,274771.0,8,1.0,0.0,0.0,1.0,0.0
2011,130306.0,4,0.0,0.0,1.0,1.0,0.0
2009,149692.0,4,1.0,0.0,0.0,1.0,0.0
2012,156518.0,4,0.0,0.0,1.0,1.0,0.0
2015,102000.0,4,1.0,0.0,0.0,1.0,0.0
2014,101928.0,8,1.0,0.0,0.0,1.0,0.0
2017,31090.0,6,1.0,0.0,0.0,1.0,0.0
2008,206000.0,4,0.0,0.0,0.0,1.0,0.0
2009,130000.0,4,1.0,0.0,0.0,1.0,0.0
1998,7563145.0,4,0.0,0.0,0.0,1.0,0.0
2005,450000.0,4,1.0,0.0,0.0,1.0,0.0
2012,63308.0,4,0.0,0.0,0.0,1.0,1.0
2011,122918.0,4,0.0,0.0,0.0,1.0,0.0
2016,80700.0,4,0.0,0.0,0.0,1.0,1.0
2010,311949.0,6,0.0,0.0,1.0,1.0,0.0
2012,70994.0,6,0.0,0.0,0.0,1.0,1.0
1998,200000.0,4,0.0,1.0,0.0,1.0,0.0
2014,102397.0,4,0.0,0.0,1.0,1.0,0.0
2010,217600.0,4,0.0,0.0,1.0,1.0,0.0
2003,167658.24705581157,4,1.0,0.0,0.0,1.0,0.0
2011,167658.24705581157,4,0.0,0.0,0.0,1.0,1.0
2013,0.0,4,0.0,0.0,1.0,1.0,0.0
2015,111000.0,4,1.0,0.0,0.0,1.0,0.0
2009,142419.0,4,0.0,0.0,0.0,1.0,1.0
2015,76800.0,4,1.0,0.0,0.0,1.0,0.0
2010,185120.0,4,1.0,0.0,0.0,1.0,0.0
2016,77600.0,4,1.0,0.0,0.0,1.0,1.0
2015,73931.0,4,1.0,0.0,0.0,1.0,1.0
2007,167658.24705581157,4,1.0,0.0,0.0,1.0,0.0
1993,245000.0,4,1.0,0.0,0.0,1.0,0.0
2014,260000.0,4,0.0,0.0,0.0,1.0,2.0
2009,264339.0,8,1.0,0.0,0.0,1.0,1.0
2008,188000.0,4,0.0,0.0,1.0,1.0,0.0
2014,0.0,6,1.0,0.0,0.0,1.0,0.0
2013,152000.0,4,1.0,0.0,0.0,1.0,1.0
2006,167563.0,6,0.0,1.0,0.0,1.0,0.0
2013,123700.0,4,0.0,0.0,0.0,1.0,1.0
2008,104000.0,4,1.0,0.0,0.0,1.0,0.0
2010,60517.0,4,0.0,0.0,0.0,1.0,0.0
2012,67000.0,4,0.0,0.0,1.0,1.0,0.0
2011,245312.0,4,0.0,0.0,0.0,1.0,0.0
2014,167658.24705581157,4,1.0,0.0,0.0,1.0,0.0
2002,384000.0,6,0.0,1.0,0.0,1.0,0.0
2005,155200.0,6,0.0,1.0,0.0,1.0,1.0
2019,14074.0,4,1.0,0.0,0.0,0.0,0.0
2014,155360.0,4,1.0,0.0,0.0,1.0,0.0
2017,38000.0,4,1.0,0.0,0.0,1.0,1.0
2010,256914.0,6,0.0,0.0,0.0,1.0,0.0
2012,64400.0,4,1.0,0.0,0.0,1.0,1.0
1965,68800.0,8,1.0,0.0,0.0,1.0,2.0
2015,215000.0,4,1.0,0.0,0.0,1.0,1.0
2013,174941.0,4,1.0,0.0,0.0,1.0,0.0
2011,68771.0,4,1.0,0.0,0.0,1.0,0.0
2012,147000.0,4,0.0,0.0,1.0,1.0,0.0
2008,200000.0,4,0.0,0.0,1.0,1.0,0.0
2016,116786.0,4,1.0,0.0,0.0,1.0,0.0
2017,41551.0,4,1.0,0.0,0.0,1.0,2.0
2012,120000.0,4,1.0,0.0,0.0,1.0,0.0
2016,167658.24705581157,4,1.0,0.0,0.0,1.0,1.0
2013,112000.0,4,1.0,0.0,0.0,1.0,0.0
2012,112000.0,4,0.0,0.0,1.0,1.0,0.0
2013,149123.0,4,1.0,0.0,0.0,1.0,0.0
2013,143000.0,4,0.0,0.0,1.0,1.0,0.0
2015,142800.0,4,1.0,0.0,0.0,1.0,0.0
2008,161000.0,4,0.0,0.0,1.0,1.0,0.0
2013,120000.0,4,0.0,0.0,1.0,1.0,0.0
1998,180003.0,4,0.0,1.0,0.0,1.0,0.0
2011,163374.0,4,1.0,0.0,0.0,1.0,0.0
2010,170000.0,8,1.0,0.0,0.0,1.0,1.0
1986,99999.0,4,0.0,0.0,0.0,1.0,0.0
2012,0.0,6,1.0,0.0,0.0,1.0,0.0
2002,280000.0,4,0.0,0.0,0.0,1.0,0.0
2008,213998.0,6,0.0,0.0,0.0,1.0,0.0
2012,94055.0,4,1.0,0.0,0.0,1.0,0.0
2014,49248.0,4,0.0,0.0,0.0,1.0,0.0
2010,260771.0,8,1.0,0.0,0.0,1.0,0.0
2012,131200.0,4,0.0,0.0,1.0,1.0,0.0
2015,100747.0,4,0.0,0.0,1.0,1.0,0.0
2016,80000.0,4,1.0,0.0,0.0,1.0,1.0
2005,263000.0,4,1.0,0.0,0.0,1.0,1.0
1997,167000.0,8,1.0,0.0,0.0,1.0,0.0
2017,167658.24705581157,4,1.0,0.0,0.0,1.0,0.0
2012,1000.0,4,1.0,0.0,0.0,1.0,0.0
1996,276000.0,4,1.0,0.0,0.0,1.0,0.0
2009,156000.0,4,0.0,0.0,1.0,1.0,0.0
2015,167658.24705581157,4,1.0,0.0,0.0,1.0,0.0
2004,130000.0,4,1.0,0.0,0.0,1.0,0.0
2013,232982.0,4,1.0,0.0,0.0,1.0,0.0
2011,85000.0,4,0.0,0.0,1.0,1.0,0.0
2015,167658.24705581157,4,0.0,0.0,1.0,1.0,0.0
2015,129931.0,8,1.0,0.0,0.0,1.0,0.0
2002,20000.0,6,1.0,0.0,0.0,1.0,0.0
2015,108000.0,4,1.0,0.0,0.0,1.0,0.0
2007,200000.0,5,0.0,0.0,0.0,1.0,1.0
2014,87720.0,4,0.0,0.0,0.0,1.0,1.0
2012,248000.0,4,0.0,0.0,0.0,1.0,0.0
2002,145000.0,4,1.0,0.0,0.0,1.0,0.0
2016,126465.0,4,0.0,0.0,0.0,1.0,1.0
2018,22816.0,4,1.0,0.0,0.0,0.0,0.0
2006,129000.0,4,1.0,0.0,0.0,1.0,0.0
2010,95510.0,4,1.0,0.0,0.0,1.0,0.0
2015,119038.0,4,0.0,0.0,0.0,1.0,1.0
2010,312000.0,4,0.0,0.0,1.0,1.0,0.0
2013,200279.0,4,0.0,0.0,0.0,1.0,1.0
2010,39000.0,4,1.0,0.0,0.0,1.0,0.0
2014,117917.0,4,0.0,0.0,0.0,1.0,1.0
2017,83138.0,4,0.0,0.0,0.0,1.0,1.0
2015,102885.0,8,1.0,0.0,0.0,1.0,0.0
2013,89461.0,4,0.0,0.0,0.0,1.0,1.0
2007,151000.0,4,0.0,0.0,1.0,1.0,0.0
2018,0.0,4,1.0,0.0,0.0,0.0,1.0
2013,94200.0,4,0.0,0.0,1.0,1.0,1.0
2016,65981.0,6,1.0,0.0,0.0,1.0,0.0
2002,201000.0,6,1.0,0.0,0.0,1.0,0.0
2014,54000.0,4,1.0,0.0,0.0,1.0,0.0
2014,66000.0,4,1.0,0.0,0.0,1.0,2.0
2012,75000.0,6,0.0,0.0,1.0,1.0,1.0
2014,272280.0,6,1.0,0.0,0.0,1.0,0.0
2012,99000.0,4,0.0,0.0,0.0,1.0,0.0
2014,167658.24705581157,6,1.0,0.0,0.0,1.0,0.0
2014,146019.0,4,0.0,0.0,1.0,1.0,0.0
2005,222222.0,6,1.0,0.0,0.0,1.0,1.0
2015,68243.0,4,1.0,0.0,0.0,1.0,1.0
2015,167658.24705581157,4,0.0,0.0,1.0,1.0,0.0
2004,0.0,8,1.0,0.0,0.0,1.0,0.0
2013,306266.0,5,1.0,0.0,0.0,1.0,0.0
2011,140171.0,4,0.0,0.0,1.0,1.0,0.0
2012,167658.24705581157,6,1.0,0.0,0.0,1.0,0.0
2012,135456.0,4,1.0,0.0,0.0,1.0,0.0
2014,82105.0,4,0.0,0.0,1.0,1.0,0.0
1996,777777.0,4,0.0,1.0,0.0,1.0,0.0
2015,188078.0,8,1.0,0.0,0.0,1.0,0.0
2014,990000.0,4,1.0,0.0,0.0,1.0,0.0
2016,0.0,6,0.0,0.0,1.0,1.0,1.0
2016,9756.0,4,1.0,0.0,0.0,1.0,1.0
2011,75000.0,5,1.0,0.0,0.0,1.0,1.0
2012,87000.0,4,1.0,0.0,0.0,1.0,0.0
2017,43651.0,4,1.0,0.0,0.0,1.0,0.0
2016,49829.0,4,1.0,0.0,0.0,1.0,1.0
2014,167658.24705581157,4,0.0,0.0,1.0,1.0,1.0
2012,150909.0,8,1.0,0.0,0.0,1.0,0.0
2016,54496.0,4,0.0,0.0,0.0,1.0,1.0
2006,57000.0,4,1.0,0.0,0.0,1.0,0.0
2003,299000.0,4,0.0,0.0,0.0,1.0,0.0
2013,167658.24705581157,4,1.0,0.0,0.0,1.0,0.0
2013,145568.0,4,1.0,0.0,0.0,1.0,0.0
2007,148000.0,8,1.0,0.0,0.0,1.0,1.0
2015,71000.0,4,1.0,0.0,0.0,1.0,2.0
2016,27038.0,6,0.0,0.0,1.0,1.0,0.0
2016,80737.0,4,0.0,0.0,0.0,1.0,2.0
2009,335291.0,4,1.0,0.0,0.0,1.0,0.0
2014,167658.24705581157,4,0.0,0.0,1.0,1.0,0.0
2011,163693.0,4,1.0,0.0,0.0,1.0,0.0
2014,127816.0,4,1.0,0.0,0.0,1.0,0.0
2013,126043.0,6,1.0,0.0,0.0,1.0,0.0
2012,64000.0,4,0.0,0.0,1.0,1.0,0.0
2018,127515.0,4,0.0,0.0,1.0,0.0,0.0
2000,0.0,4,0.0,1.0,0.0,1.0,0.0
2016,33000.0,6,1.0,0.0,0.0,1.0,3.0
2013,47000.0,4,1.0,0.0,0.0,1.0,1.0
2014,270410.0,4,0.0,0.0,1.0,1.0,0.0
2011,230696.0,6,0.0,0.0,0.0,1.0,0.0
2003,234313.0,4,1.0,0.0,0.0,1.0,0.0
2014,110685.0,4,1.0,0.0,0.0,1.0,0.0
2019,25541.0,4,0.0,0.0,0.0,0.0,2.0
2015,173101.0,4,1.0,0.0,0.0,1.0,0.0
2010,167658.24705581157,6,0.0,0.0,1.0,1.0,1.0
2013,211214.0,4,1.0,0.0,0.0,1.0,0.0
2009,0.0,4,0.0,0.0,1.0,1.0,0.0
2007,248000.0,4,0.0,0.0,1.0,1.0,0.0
2018,52349.0,4,1.0,0.0,0.0,0.0,1.0
2014,85933.0,4,0.0,0.0,0.0,1.0,1.0
1998,214000.0,4,1.0,0.0,0.0,1.0,0.0
2014,151854.0,4,0.0,0.0,0.0,1.0,1.0
2013,103112.0,4,1.0,0.0,0.0,1.0,0.0
2016,199596.0,4,0.0,0.0,0.0,1.0,1.0
2014,131957.0,4,0.0,0.0,0.0,1.0,1.0
2015,25787.0,4,1.0,0.0,0.0,1.0,1.0
2014,125445.0,4,0.0,0.0,0.0,1.0,1.0
2011,89421.0,4,0.0,0.0,1.0,1.0,0.0
2018,20549.0,4,1.0,0.0,0.0,0.0,1.0
2012,149935.0,4,1.0,0.0,0.0,1.0,0.0
2016,83200.0,4,1.0,0.0,0.0,1.0,0.0
2011,489584.0,4,0.0,0.0,1.0,1.0,0.0
2008,164000.0,4,0.0,0.0,1.0,1.0,0.0
2015,59077.0,4,0.0,0.0,0.0,1.0,1.0
2013,77000.0,4,0.0,0.0,1.0,1.0,1.0
2013,131411.0,4,1.0,0.0,0.0,1.0,0.0
2016,167658.24705581157,6,1.0,0.0,0.0,1.0,0.0
2019,102.0,4,0.0,0.0,0.0,0.0,3.0
2001,240000.0,6,1.0,0.0,0.0,1.0,0.0
2014,69000.0,4,0.0,0.0,0.0,1.0,1.0
2018,9410.0,4,1.0,0.0,0.0,0.0,1.0
2018,20267.0,4,1.0,0.0,0.0,0.0,0.0
2010,174926.0,4,0.0,0.0,1.0,1.0,0.0
1999,237000.0,6,1.0,0.0,0.0,1.0,0.0
2008,62823.0,6,1.0,0.0,0.0,1.0,0.0
2010,102138.0,4,0.0,0.0,0.0,1.0,1.0
1999,150000.0,4,1.0,0.0,0.0,1.0,0.0
2011,90102.0,4,1.0,0.0,0.0,1.0,0.0
2014,130478.0,4,0.0,0.0,1.0,1.0,0.0
2006,157000.0,6,0.0,1.0,0.0,1.0,0.0
2005,234082.0,4,1.0,0.0,0.0,1.0,0.0
2003,0.0,8,1.0,0.0,0.0,1.0,0.0
2008,147290.0,4,1.0,0.0,0.0,1.0,0.0
2019,7000.0,4,1.0,0.0,0.0,0.0,2.0
2008,173000.0,4,0.0,0.0,1.0,1.0,0.0
2011,342622.0,6,0.0,0.0,1.0,1.0,0.0
2016,63000.0,6,1.0,0.0,0.0,1.0,2.0
2014,113214.0,4,0.0,0.0,0.0,1.0,0.0
2013,110467.0,4,1.0,0.0,0.0,1.0,0.0
2008,67233.0,4,0.0,0.0,0.0,1.0,0.0
2012,71000.0,3,1.0,0.0,0.0,1.0,0.0
2016,167658.24705581157,4,0.0,0.0,0.0,1.0,1.0
2015,60539.0,4,1.0,0.0,0.0,1.0,1.0
1999,284000.0,4,0.0,1.0,0.0,1.0,0.0
1999,9401.0,6,1.0,0.0,0.0,1.0,0.0
2013,62707.0,4,0.0,0.0,0.0,1.0,1.0
2013,308694.0,4,1.0,0.0,0.0,1.0,0.0
2016,42554.0,4,1.0,0.0,0.0,1.0,2.0
2018,38712.0,4,1.0,0.0,0.0,0.0,0.0
2012,100000.0,4,0.0,0.0,1.0,1.0,1.0
2014,111400.0,4,1.0,0.0,0.0,1.0,1.0
2010,145000.0,4,0.0,0.0,1.0,1.0,0.0
2012,110000.0,6,0.0,0.0,0.0,1.0,2.0
2010,221760.0,4,0.0,0.0,1.0,1.0,0.0
2012,162000.0,4,1.0,0.0,0.0,1.0,1.0
2006,169969.0,4,1.0,0.0,0.0,1.0,0.0
2010,167658.24705581157,6,0.0,0.0,1.0,1.0,0.0
2014,121000.0,4,0.0,0.0,1.0,1.0,0.0
2014,195987.0,4,1.0,0.0,0.0,1.0,0.0
2012,141500.0,4,0.0,0.0,1.0,1.0,0.0
2011,170429.0,6,0.0,0.0,0.0,1.0,0.0
2004,0.0,4,1.0,0.0,0.0,1.0,0.0
2018,29763.0,4,1.0,0.0,0.0,0.0,0.0
2008,167658.24705581157,6,0.0,0.0,1.0,1.0,0.0
2012,190000.0,6,1.0,0.0,0.0,1.0,1.0
2011,308501.0,4,1.0,0.0,0.0,1.0,0.0
1998,195256.0,4,1.0,0.0,0.0,1.0,0.0
2002,168000.0,4,1.0,0.0,0.0,1.0,0.0
2014,114950.0,4,0.0,0.0,1.0,1.0,0.0
2013,177894.0,4,1.0,0.0,0.0,1.0,0.0
2016,167658.24705581157,4,1.0,0.0,0.0,1.0,0.0
2008,292000.0,6,0.0,0.0,0.0,1.0,1.0
2020,9146.0,4,0.0,0.0,0.0,0.0,2.0
2004,135000.0,4,1.0,0.0,0.0,1.0,0.0
